QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_21,现货市场,1,Section_1,217.53406,101.0,True
2,Thermal_21,现货市场,1,Section_2,219.24869,11.0,True
3,Thermal_21,现货市场,1,Section_3,220.96331,11.0,True
4,Thermal_21,现货市场,1,Section_4,222.67794,11.0,True
5,Thermal_21,现货市场,1,Section_5,224.39257,11.0,True
6,Thermal_21,现货市场,1,Section_6,226.1072,11.0,True
7,Thermal_21,现货市场,1,Section_7,227.82183,11.0,True
8,Thermal_21,现货市场,1,Section_8,229.53645,11.0,True
9,Thermal_21,现货市场,1,Section_9,231.25108,11.0,True
10,Thermal_21,现货市场,1,Section_10,232.96571,11.0,True
11,Thermal_22,现货市场,1,Section_1,217.53406,101.0,True
12,Thermal_22,现货市场,1,Section_2,219.24869,11.0,True
13,Thermal_22,现货市场,1,Section_3,220.96331,11.0,True
14,Thermal_22,现货市场,1,Section_4,222.67794,11.0,True
15,Thermal_22,现货市场,1,Section_5,224.39257,11.0,True
16,Thermal_22,现货市场,1,Section_6,226.1072,11.0,True
17,Thermal_22,现货市场,1,Section_7,227.82183,11.0,True
18,Thermal_22,现货市场,1,Section_8,229.53645,11.0,True
19,Thermal_22,现货市场,1,Section_9,231.25108,11.0,True
20,Thermal_22,现货市场,1,Section_10,232.96571,11.0,True
21,Thermal_23,现货市场,1,Section_1,217.53406,101.0,True
22,Thermal_23,现货市场,1,Section_2,219.24869,11.0,True
23,Thermal_23,现货市场,1,Section_3,220.96331,11.0,True
24,Thermal_23,现货市场,1,Section_4,222.67794,11.0,True
25,Thermal_23,现货市场,1,Section_5,224.39257,11.0,True
26,Thermal_23,现货市场,1,Section_6,226.1072,11.0,True
27,Thermal_23,现货市场,1,Section_7,227.82183,11.0,True
28,Thermal_23,现货市场,1,Section_8,229.53645,11.0,True
29,Thermal_23,现货市场,1,Section_9,231.25108,11.0,True
30,Thermal_23,现货市场,1,Section_10,232.96571,11.0,True
31,Thermal_24,现货市场,1,Section_1,217.53406,101.0,True
32,Thermal_24,现货市场,1,Section_2,219.24869,11.0,True
33,Thermal_24,现货市场,1,Section_3,220.96331,11.0,True
34,Thermal_24,现货市场,1,Section_4,222.67794,11.0,True
35,Thermal_24,现货市场,1,Section_5,224.39257,11.0,True
36,Thermal_24,现货市场,1,Section_6,226.1072,11.0,True
37,Thermal_24,现货市场,1,Section_7,227.82183,11.0,True
38,Thermal_24,现货市场,1,Section_8,229.53645,11.0,True
39,Thermal_24,现货市场,1,Section_9,231.25108,11.0,True
40,Thermal_24,现货市场,1,Section_10,232.96571,11.0,True
