QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,228.19152,276.0,True
2,Thermal_1,现货市场,1,Section_2,229.33442,36.0,True
3,Thermal_1,现货市场,1,Section_3,230.47732,36.0,True
4,Thermal_1,现货市场,1,Section_4,231.62022,36.0,True
5,Thermal_1,现货市场,1,Section_5,232.76312,36.0,True
6,Thermal_1,现货市场,1,Section_6,233.90602,36.0,True
7,Thermal_1,现货市场,1,Section_7,235.04892,36.0,True
8,Thermal_1,现货市场,1,Section_8,236.19182,36.0,True
9,Thermal_1,现货市场,1,Section_9,237.33472,36.0,True
10,Thermal_1,现货市场,1,Section_10,238.47762,36.0,True
11,Thermal_2,现货市场,1,Section_1,228.19152,276.0,True
12,Thermal_2,现货市场,1,Section_2,229.33442,36.0,True
13,Thermal_2,现货市场,1,Section_3,230.47732,36.0,True
14,Thermal_2,现货市场,1,Section_4,231.62022,36.0,True
15,Thermal_2,现货市场,1,Section_5,232.76312,36.0,True
16,Thermal_2,现货市场,1,Section_6,233.90602,36.0,True
17,Thermal_2,现货市场,1,Section_7,235.04892,36.0,True
18,Thermal_2,现货市场,1,Section_8,236.19182,36.0,True
19,Thermal_2,现货市场,1,Section_9,237.33472,36.0,True
20,Thermal_2,现货市场,1,Section_10,238.47762,36.0,True
