QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,230.86417,276.0,True
2,Thermal_1,现货市场,1,Section_2,232.02046,36.0,True
3,Thermal_1,现货市场,1,Section_3,233.17675,36.0,True
4,Thermal_1,现货市场,1,Section_4,234.33303,36.0,True
5,Thermal_1,现货市场,1,Section_5,235.48932,36.0,True
6,Thermal_1,现货市场,1,Section_6,236.6456,36.0,True
7,Thermal_1,现货市场,1,Section_7,237.80189,36.0,True
8,Thermal_1,现货市场,1,Section_8,238.95817,36.0,True
9,Thermal_1,现货市场,1,Section_9,240.11446,36.0,True
10,Thermal_1,现货市场,1,Section_10,241.27075,36.0,True
11,Thermal_2,现货市场,1,Section_1,230.86417,276.0,True
12,Thermal_2,现货市场,1,Section_2,232.02046,36.0,True
13,Thermal_2,现货市场,1,Section_3,233.17675,36.0,True
14,Thermal_2,现货市场,1,Section_4,234.33303,36.0,True
15,Thermal_2,现货市场,1,Section_5,235.48932,36.0,True
16,Thermal_2,现货市场,1,Section_6,236.6456,36.0,True
17,Thermal_2,现货市场,1,Section_7,237.80189,36.0,True
18,Thermal_2,现货市场,1,Section_8,238.95817,36.0,True
19,Thermal_2,现货市场,1,Section_9,240.11446,36.0,True
20,Thermal_2,现货市场,1,Section_10,241.27075,36.0,True
